ADRESSE,CODE_INSEE
31 Rue Saint Agricol,84007
1 Rue Sainte-Catherine,33063
60 Rue de la Porte Dijeaux,33063
7 Bd de la Croisette,6150
"Palm Beach, Pl. Franklin Roosevelt",6150
98 Rue Du Rocher,73227
22 Boulvard Edouard Rey,38185
40 Rue du Palais,17300
8 Rue de la Bourse,59350
32 Rue de la République,69382
13 Rue Émile Zola,69382
101 Rue du Président Édouard Herriot,69382
17 Rue Grignan,13206
66 Boulevard du Docteur Rodocanachi,13208
14 Rue Louis Pasteur,68224
11 Place Royale,44109
6 Avenue Jean Médecin Galeries Lafayette,6088
2 Place de la Maison Carrée,30189
127 Avenue des Champs-Élysées,75108
24 Rue de Sèvres,75107
25 Rue Royale,75108
261 Rue Saint-Honoré,75101
30 Avenue Montaigne,75108
40 Boulevard Haussmann,75109
64 Boulvard Haussmann,75108
8 Place Vendôme,75101
9 Rue de la Monnaie,75101
32 Avenue Montaigne,75108
Place Georges Clemenceau,64445
64 Rue Jeanne-d'Arc,51454
5 Place De L'hotel De Ville,42218
13 Rue François Sibilli,83119
1 Rue du Dôme,67482
3 Boulevard de la Dordogne,67482
6 Rue du Temple Neuf,67482
26 Rue Saint-Antoine du T,31555
59 Avenue Marcel Mérieux,37261
1 Rue de Rohan,35238
